ID,商品名,販売価格,会社ID,会社名
279683,コカ・コーラ,150,1,大正製薬
279684,"ソーダ",200,2,本牧江戸清
279685,レモンサワー,500,3,サントリー
279686,プレミアムモルツ,800,4,キヨスク
279687,アルマンドゴールド,500000,5,横浜市交通局
279688,からあげ君,300,6,JR東日本
279689,アメリカンドック,220,7,サントリー
279690,ななチキ,350,8,グーグルジャパン
279691,ぶぶか,380,9,エノテカ
279692,カップヌードルしょうゆ,200,10,招き猫
279693,パピコ,160,11,皇居
279695,コカ・コーラ,150,1,大正製薬
279696,"ソーダ",200,2,本牧江戸清
279697,レモンサワー,500,3,サントリー
279698,プレミアムモルツ,800,4,キヨスク
279699,アルマンドゴールド,500000,5,横浜市交通局
279700,からあげ君,300,6,JR東日本
279701,アメリカンドック,220,7,サントリー
279702,ななチキ,350,8,グーグルジャパン
279703,ぶぶか,380,9,エノテカ
279704,カップヌードルしょうゆ,200,10,招き猫
279705,パピコ,160,11,皇居
279707,コカ・コーラ,150,1,大正製薬
279708,"ソーダ",200,2,本牧江戸清
279709,レモンサワー,500,3,サントリー
279710,プレミアムモルツ,800,4,キヨスク
279711,アルマンドゴールド,500000,5,横浜市交通局
279712,からあげ君,300,6,JR東日本
279713,アメリカンドック,220,7,サントリー
279714,ななチキ,350,8,グーグルジャパン
279715,ぶぶか,380,9,エノテカ
279716,カップヌードルしょうゆ,200,10,招き猫
279717,パピコ,160,11,皇居
279719,コカ・コーラ,150,1,大正製薬
279720,"ソーダ",200,2,本牧江戸清
279721,レモンサワー,500,3,サントリー
279722,プレミアムモルツ,800,4,キヨスク
279723,アルマンドゴールド,500000,5,横浜市交通局
279724,からあげ君,300,6,JR東日本
279725,アメリカンドック,220,7,サントリー
279726,ななチキ,350,8,グーグルジャパン
279727,ぶぶか,380,9,エノテカ
279728,カップヌードルしょうゆ,200,10,招き猫
279729,パピコ,160,11,皇居
279731,コカ・コーラ,150,1,大正製薬
279732,"ソーダ",200,2,本牧江戸清
279733,レモンサワー,500,3,サントリー
279734,プレミアムモルツ,800,4,キヨスク
279735,アルマンドゴールド,500000,5,横浜市交通局
279736,からあげ君,300,6,JR東日本
279737,アメリカンドック,220,7,サントリー
279738,ななチキ,350,8,グーグルジャパン
279739,ぶぶか,380,9,エノテカ
279740,カップヌードルしょうゆ,200,10,招き猫
279741,パピコ,160,11,皇居
279743,コカ・コーラ,150,1,大正製薬
279744,"ソーダ",200,2,本牧江戸清
279745,レモンサワー,500,3,サントリー
279746,プレミアムモルツ,800,4,キヨスク
279747,アルマンドゴールド,500000,5,横浜市交通局
279748,からあげ君,300,6,JR東日本
279749,アメリカンドック,220,7,サントリー
279750,ななチキ,350,8,グーグルジャパン
279751,ぶぶか,380,9,エノテカ
279752,カップヌードルしょうゆ,200,10,招き猫
279753,パピコ,160,11,皇居
279755,コカ・コーラ,150,1,大正製薬
279756,"ソーダ",200,2,本牧江戸清
279757,レモンサワー,500,3,サントリー
279758,プレミアムモルツ,800,4,キヨスク
279759,アルマンドゴールド,500000,5,横浜市交通局
279760,からあげ君,300,6,JR東日本
279761,アメリカンドック,220,7,サントリー
279762,ななチキ,350,8,グーグルジャパン
279763,ぶぶか,380,9,エノテカ
279764,カップヌードルしょうゆ,200,10,招き猫
279765,パピコ,160,11,皇居
279767,コカ・コーラ,150,1,大正製薬
279768,"ソーダ",200,2,本牧江戸清
279769,レモンサワー,500,3,サントリー
279770,プレミアムモルツ,800,4,キヨスク
279771,アルマンドゴールド,500000,5,横浜市交通局
279772,からあげ君,300,6,JR東日本
279773,アメリカンドック,220,7,サントリー
279774,ななチキ,350,8,グーグルジャパン
279775,ぶぶか,380,9,エノテカ
279776,カップヌードルしょうゆ,200,10,招き猫
279777,パピコ,160,11,皇居
279779,コカ・コーラ,150,1,大正製薬
279780,"ソーダ",200,2,本牧江戸清
279781,レモンサワー,500,3,サントリー
279782,プレミアムモルツ,800,4,キヨスク
279783,アルマンドゴールド,500000,5,横浜市交通局
279784,からあげ君,300,6,JR東日本
279785,アメリカンドック,220,7,サントリー
279786,ななチキ,350,8,グーグルジャパン
279787,ぶぶか,380,9,エノテカ
279788,カップヌードルしょうゆ,200,10,招き猫
279789,パピコ,160,11,皇居
279791,コカ・コーラ,150,1,大正製薬
279792,"ソーダ",200,2,本牧江戸清
279793,レモンサワー,500,3,サントリー
279794,プレミアムモルツ,800,4,キヨスク
279795,アルマンドゴールド,500000,5,横浜市交通局
279796,からあげ君,300,6,JR東日本
279797,アメリカンドック,220,7,サントリー
279798,ななチキ,350,8,グーグルジャパン
279799,ぶぶか,380,9,エノテカ
279800,カップヌードルしょうゆ,200,10,招き猫
279801,パピコ,160,11,皇居
